source,id,title,authors,publication_year,publisher,language,rights,access,is_public_domain,isbn,oclc_num,lccn,bib_fmt,pub_place,holding_library,source_url,catalog_url
hathitrust,mdp.39015079611037,"Walford's guide to reference material / edited by A. J. Walford, with the assistance of Anthony P. Harvey and H. Drubba.","Walford, A. J.",9999,"Library Association, 1980-",eng,ic,deny,False,0853656118,6347136,80489414,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015079611037,https://catalog.hathitrust.org/Record/000035953
hathitrust,mdp.39015002108044,"Bolinas Lagoon inlet, California / J.W. Johnson.","Johnson, J. W. 1908-2002,",1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pd,allow,True,,1331559,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015002108044,https://catalog.hathitrust.org/Record/000037323
hathitrust,mdp.39015095030246,"Bolinas Lagoon inlet, California / J.W. Johnson.","Johnson, J. W. 1908-2002,",1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pd,allow,True,,1331559,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015095030246,https://catalog.hathitrust.org/Record/000037323
hathitrust,mdp.39015004528751,"Hydraulic method used for moving sand at Hyperion Beach Erosion Project, El Segundo, California.",Coastal Engineering Research Center (U.S.),1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pdus,allow,True,,1331959,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015004528751,https://catalog.hathitrust.org/Record/000037345
hathitrust,mdp.39015095030188,"Hydraulic method used for moving sand at Hyperion Beach Erosion Project, El Segundo, California.",Coastal Engineering Research Center (U.S.),1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pdus,allow,True,,1331959,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015095030188,https://catalog.hathitrust.org/Record/000037345
hathitrust,mdp.39015000495641,"Operations research / Frederick S. Hillier, Gerald J. Lieberman.","Hillier, Frederick S.",1974,"Holden-Day, c1974.",eng,ic,deny,False,0816238561,1142888,73094383,BK,cau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015000495641,https://catalog.hathitrust.org/Record/000037355
hathitrust,mdp.39015006061546,"Operations research / Frederick S. Hillier, Gerald J. Lieberman.","Hillier, Frederick S.",1974,"Holden-Day, c1974.",eng,ic,deny,False,0816238561,1142888,73094383,BK,cau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006061546,https://catalog.hathitrust.org/Record/000037355
hathitrust,uc1.b4592327,"Operations research / Frederick S. Hillier, Gerald J. Lieberman.","Hillier, Frederick S.",1974,"Holden-Day, c1974.",eng,ic,deny,False,0816238561,1142888,73094383,BK,cau,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.b4592327,https://catalog.hathitrust.org/Record/000037355
hathitrust,mdp.39015056061701,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015056061701,https://catalog.hathitrust.org/Record/000037439
hathitrust,mdp.39015056061552,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015056061552,https://catalog.hathitrust.org/Record/000037439
hathitrust,mdp.39015056061560,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015056061560,https://catalog.hathitrust.org/Record/000037439
hathitrust,mdp.39015056061719,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015056061719,https://catalog.hathitrust.org/Record/000037439
hathitrust,mdp.39015056061727,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015056061727,https://catalog.hathitrust.org/Record/000037439
hathitrust,coo.31924008491239,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,COO,https://babel.hathitrust.org/cgi/pt?id=coo.31924008491239,https://catalog.hathitrust.org/Record/000037439
hathitrust,uc1.c025252807,Second stage evidence / Committee to Review the Functioning of Financial Institutions.,Great Britain. Committee to Review the Functioning of Financial Institutions.,9999,"H.M. Stationery Off., 1979-",eng,ic,deny,False,0116307072,5402999,79312411,BK,enk,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.c025252807,https://catalog.hathitrust.org/Record/000037439
hathitrust,uiug.30112014526120,Instruction méthodique et fort facile pour apprendre la musique pratique / [par] Blockland de Montfort. Traité de la musique pratique divisé en deux parties / [par] Jean Yssandon.,"Blockland de Montfort, Corneille de, 16th cent.",1972,"Minkoff Reprint, 1972.",fre,pd,allow,True,,1505831,75505196,BK,sz ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112014526120,https://catalog.hathitrust.org/Record/000038166
hathitrust,uc1.31822000630897,"Redistribution of accessory elements in mining and mineral processing : a report / prepared by the Committee on Accessory Elements, Board on Mineral and Energy Resources, Commission on Natural Resources, National Research Council",National Research Council (U.S.). Board on Mineral and Energy Resources. Committee on Accessory Elements,1979,"National Academy of Sciences, 1979",eng,ic,deny,False,0309028973 (v. 1),5701145,79090468,BK,dcu,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.31822000630897,https://catalog.hathitrust.org/Record/000038502
hathitrust,uc1.31822006852271,"Redistribution of accessory elements in mining and mineral processing : a report / prepared by the Committee on Accessory Elements, Board on Mineral and Energy Resources, Commission on Natural Resources, National Research Council",National Research Council (U.S.). Board on Mineral and Energy Resources. Committee on Accessory Elements,1979,"National Academy of Sciences, 1979",eng,ic,deny,False,0309028973 (v. 1),5701145,79090468,BK,dcu,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.31822006852271,https://catalog.hathitrust.org/Record/000038502
hathitrust,mdp.39015002030651,"Redistribution of accessory elements in mining and mineral processing : a report / prepared by the Committee on Accessory Elements, Board on Mineral and Energy Resources, Commission on Natural Resources, National Research Council",National Research Council (U.S.). Board on Mineral and Energy Resources. Committee on Accessory Elements,1979,"National Academy of Sciences, 1979",eng,ic,deny,False,0309028973 (v. 1),5701145,79090468,BK,dcu,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015002030651,https://catalog.hathitrust.org/Record/000038502
hathitrust,uiug.30112027111704,"Redistribution of accessory elements in mining and mineral processing : a report / prepared by the Committee on Accessory Elements, Board on Mineral and Energy Resources, Commission on Natural Resources, National Research Council",National Research Council (U.S.). Board on Mineral and Energy Resources. Committee on Accessory Elements,1979,"National Academy of Sciences, 1979",eng,ic,deny,False,0309028973 (v. 1),5701145,79090468,BK,dcu,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112027111704,https://catalog.hathitrust.org/Record/000038502
hathitrust,mdp.39015095030162,A glossary of ecological terms for coastal engineers / Arthur K. Hurme.,"Hurme, Arthur K.",1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pdus,allow,True,,1600810,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015095030162,https://catalog.hathitrust.org/Record/000039766
hathitrust,mdp.39015003717181,A glossary of ecological terms for coastal engineers / Arthur K. Hurme.,"Hurme, Arthur K.",1974,"U.S. Army Coastal Engineering Research Center, 1974.",eng,pdus,allow,True,,1600810,,BK,vau,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015003717181,https://catalog.hathitrust.org/Record/000039766
hathitrust,uc1.c3132646,Food industries data sources.,United States. Domestic and International Business Administration.,1975,[1975],eng,pd,allow,True,,1345744,,BK,dcu,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.c3132646,https://catalog.hathitrust.org/Record/000040909
hathitrust,pst.000070945973,Food industries data sources.,United States. Domestic and International Business Administration.,1975,[1975],eng,pd,allow,True,,1345744,,BK,dcu,PST,https://babel.hathitrust.org/cgi/pt?id=pst.000070945973,https://catalog.hathitrust.org/Record/000040909
hathitrust,uiug.30112088129512,Directory of prepaid dental care plans.,,1967,"U.S. Bureau of Health Manpower, Division of Dental Health.",eng,pd,allow,True,,45892371,,SE,mdu,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112088129512,https://catalog.hathitrust.org/Record/000045325
hathitrust,uiug.30112088129496,Directory of prepaid dental care plans.,,1960,"U.S. Bureau of Health Manpower, Division of Dental Health.",eng,pd,allow,True,,45892371,,SE,mdu,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112088129496,https://catalog.hathitrust.org/Record/000045325
