title,author,year,lang,rights,fmt,publisher,oclc,htid,url,n_copies
"Through the looking-glass, and what Alice found there, by Lewis Carroll [pseud.] Illustrations by John Tenniel.","Carroll, Lewis, 1832-1898",1895.0,eng,pd,BK,"Macmillan and co., 1895.",28038900,hvd.hn28hm,https://babel.hathitrust.org/cgi/pt?id=hvd.hn28hm,1
"Through the looking glass, and what Alice found there. By Lewis Carroll [pseud.] With fifty illustrations after John Tenniel.","Carroll, Lewis, 1832-1898",1910.0,eng,pd,BK,"McLoughlin Brothers, [1910].",12641212,hvd.hn78d3,https://babel.hathitrust.org/cgi/pt?id=hvd.hn78d3,1
"Through the looking-glass, and what Alice found there, by Lewis Carroll [pseud.]","Carroll, Lewis, 1832-1898",1893.0,eng,pd,BK,T. Y. Crowell & co. [c1893],2495469,hvd.hn2glw,https://babel.hathitrust.org/cgi/pt?id=hvd.hn2glw,1
"Through the looking-glass, and what Alice found there, by Lewis Carroll ; with 50 illustrations by John Tenniel.","Carroll, Lewis, 1832-1898.",1896.0,eng,pd,BK,"A.L. Burt, [c1896?]",17340054,uva.x004194497,https://babel.hathitrust.org/cgi/pt?id=uva.x004194497,1
"Through the looking-glass, and what Alice found there, by Lewis Carroll; with fifty illustrations by John Tenniel. 39th thousand.","Carroll, Lewis, 1832-1898.",1875.0,eng,pd,BK,"Macmillan & co., 1875.",4815457,njp.32101075985729,https://babel.hathitrust.org/cgi/pt?id=njp.32101075985729,1
Through the looking glass : and what Alice saw there / by Lewis Carroll [i.e. C. Dodgson].,"Carroll, Lewis, 1832-1898.",1902.0,eng,pd,BK,"Homewood Pub. Co., c1902.",4635066,nc01.ark:/13960/t59c8037h,https://babel.hathitrust.org/cgi/pt?id=nc01.ark:/13960/t59c8037h,1
"The vision of the three T's : a threnody / by the author of ""The new belfry.""","Carroll, Lewis, 1832-1898.",1873.0,eng,pd,BK,"James Parker and Co., 1873.",12333465,msu.31293009978697,https://babel.hathitrust.org/cgi/pt?id=msu.31293009978697,1
"An index to ""In memoriam.""","Carroll, Lewis, 1832-1898.",1862.0,eng,pd,BK,"E. Moxon & co., 1862.",6526690,coo.31924013559541,https://babel.hathitrust.org/cgi/pt?id=coo.31924013559541,1
"The hunting of the snark; an agony, in eight fits, by Lewis Carroll [pseud.] With illus. by Henry Holiday.","Carroll, Lewis, 1832-1898",1898.0,eng,pd,BK,"Macmillan, 1898.",8368714,hvd.32044024322273,https://babel.hathitrust.org/cgi/pt?id=hvd.32044024322273,1
The hunting of the snark [verse] by Lewis Carroll.,"Carroll, Lewis, 1832-1898.",1891.0,   ,pd,BK,1891,,oxu1.601623841,https://babel.hathitrust.org/cgi/pt?id=oxu1.601623841,1
"Alice's adventures in Wonderland, Through the looking-glass and The hunting of the snark, by Lewis Carroll [pseud.] Illustrations by John Tenniel ...","Carroll, Lewis, 1832-1898.",1932.0,eng,pdus,BK,"National Home Library Foundation, 1932.",6255189,nyp.33433036412678,https://babel.hathitrust.org/cgi/pt?id=nyp.33433036412678,1
"Alice's adventures in Wonderland, [by Lewis Carroll]. With illus. by J. Tenniel.","Carroll, Lewis, 1832-1898",1895.0,eng,pd,BK,"Maynard, Merrill [c1895]",237182185,hvd.hn6zyu,https://babel.hathitrust.org/cgi/pt?id=hvd.hn6zyu,1
"Alice's adventures in wonderland, by Lewis Carroll [pseud.] With illustrations by John Tenniel. Edited for school use by Charles A. McMurry.","Carroll, Lewis, 1832-1898",1914.0,eng,pd,BK,"Macmillan co., 1914.",40233466,hvd.hn6n55,https://babel.hathitrust.org/cgi/pt?id=hvd.hn6n55,1
"Alice's adventures in Wonderland, by Lewis Carroll [pseud.] with an introduction by E. S. Martin, illustrated by Peter Newell.","Carroll, Lewis, 1832-1898.",1901.0,eng,pdus,BK,"Harper & brothers, 1901.",1819474,uc2.ark:/13960/t25b0495f,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t25b0495f,1
"Alice's adventures in Wonderland, by Lewis Carroll [pseud.] illustrated by Arthur Rackham, with a proem by Austin Dobson.","Carroll, Lewis, 1832-1898.",1907.0,eng,pd,BK,"W. Heinemann; Doubleday, Page & co. [1907]",8263557,umn.31951d000928491,https://babel.hathitrust.org/cgi/pt?id=umn.31951d000928491,1
"Alice's adventures in wonderland, by Lewis Carroll [pseud.] Illus. by John Tenniel.","Carroll, Lewis, 1832-1898",1912.0,eng,pdus,BK,"Macmillan, 1912.",154285820,hvd.hn28zd,https://babel.hathitrust.org/cgi/pt?id=hvd.hn28zd,1
Alice's adventures in Wonderland by Lewis Carroll ; illustrated by Bessie Pease Gutmann.,"Carroll, Lewis, 1832-1898.",1907.0,eng,pdus,BK,"Musson, c1907.",862603506,aeu.ark:/13960/t7sn23n4v,https://babel.hathitrust.org/cgi/pt?id=aeu.ark:/13960/t7sn23n4v,1
"Alice's adventures in wonderland, [by Lewis Carroll]. Illus. by J. Tenniel.","Carroll, Lewis, 1832-1898",1898.0,eng,pd,BK,"Macmillan, 1898.",56331926,hvd.32044019660919,https://babel.hathitrust.org/cgi/pt?id=hvd.32044019660919,1
"Alice's adventures in Wonderland : and, through the looking-glass & what Alice found there / by Lewis Carroll ; with ninety-two illustrations by John Tenniel, including sixteen in colour.","Carroll, Lewis, 1832-1898.",1911.0,eng,pdus,BK,"Macmillan, 1911.",8214868,nyp.33333219847890,https://babel.hathitrust.org/cgi/pt?id=nyp.33333219847890,1
"Alice's adventures in Wonderland, and Through the looking-glass, by Lewis Carroll. With 92 illustr. by J. Tenniel.","Carroll, Lewis, 1832-1898.",1885.0,   ,pd,BK,1885,,oxu1.604830682,https://babel.hathitrust.org/cgi/pt?id=oxu1.604830682,1
"Alice's adventures in Wonderland and Through the looking-glass, by Lewis Carroll [pseud.] with illustrations by John Tenniel ...","Carroll, Lewis, 1832-1898.",1925.0,eng,pdus,BK,"Pub. for Encyclopedia Americana, [1925?]",21140323,uva.x000307150,https://babel.hathitrust.org/cgi/pt?id=uva.x000307150,1
"Alice's adventures in Wonderland, and Through the looking-glass, by Lewis Carroll [pseud.] With illus. by John Tenniel.","Carroll, Lewis, 1832-1898.",1900.0,eng,pd,BK,A. L. Burt [19--?],12675833,osu.32435008732729,https://babel.hathitrust.org/cgi/pt?id=osu.32435008732729,1
"Alice's adventures in Wonderland, and Through the looking-glass, by Lewis Carroll [pseud.] Complete in 1 vol. with illus. by John Tenniel.","Carroll, Lewis, 1832-1898.",1925.0,eng,pdus,BK,Grosset & Dunlap [1925?],616197,osu.32435002940443,https://babel.hathitrust.org/cgi/pt?id=osu.32435002940443,1
"Alice's adventures in Wonderland ; and, Through the looking glass by Lewis Carroll ; illustrated by John Tenniel and Elenore Abbott.","Carroll, Lewis, 1832-1898.",1912.0,eng,pd,BK,"G.W. Jacobs, [1912?]",,nyp.33433082529888,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082529888,1
"Alice's adventures in wonderland, and Through the looking-glass. By Lewis Carroll. Illus. by John Tenniel.","Carroll, Lewis, 1832-1898.",1897.0,eng,pd,BK,"Macmillan, 1897.",19838384,uc1.b2505546,https://babel.hathitrust.org/cgi/pt?id=uc1.b2505546,1
"Alice's adventures in Wonderland, and Through the looking-glass and what Alice found there, by Lewis Carroll. With illustr. by J. Tenniel. People's ed.","Carroll, Lewis, 1832-1898.",1896.0,   ,pd,BK,1896,,oxu1.604838839,https://babel.hathitrust.org/cgi/pt?id=oxu1.604838839,1
"Alice's Abenteuer im Wunderland, vom Lewis Carroll [pseud.] Autorisierte Ausgabe aus dem Englischen. Mit 8 Vollbilden und zahlreichen Text-Illustrationen von John Tenniel.","Carroll, Lewis, 1832-1898.",1901.0,ger,pdus,BK,"Ed. Wartigs Verlag Ernst Hoppe, [1901]",24270826,uiuo.ark:/13960/t1gh9dw6h,https://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t1gh9dw6h,1
Alice in wonderland : printed in Gregg shorthand / by Lewis Carroll.,"Carroll, Lewis, 1832-1898.",1917.0,eng,pd,BK,"Gregg Pub. Co., [1917]",173976281,nyp.33433034392971,https://babel.hathitrust.org/cgi/pt?id=nyp.33433034392971,1
"Alice's adventures in Wonderland, by Lewis Carroll. With illustr. by J. Tenniel.","Carroll, Lewis, 1832-1898.",1897.0,   ,pd,BK,1897,,oxu1.604824304,https://babel.hathitrust.org/cgi/pt?id=oxu1.604824304,1
Alice's adventures in Wonderland ; Through the looking glass ; and The hunting of the snark / by Lewis Carroll ; illustrations by John Tenniel.,"Carroll, Lewis, 1832-1898.",1934.0,eng,pdus,BK,"Carlton House, [1934?]",3798388,uva.x000473730,https://babel.hathitrust.org/cgi/pt?id=uva.x000473730,1
"The hunting of the snark, and other poems and verses / by Lewis Carroll ; illustrated by Peter Newell.","Carroll, Lewis, 1832-1898.",1903.0,eng,pd,BK,"Harper & Bros., 1903.",,loc.ark:/13960/t6737b38n,https://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6737b38n,1
